key,Sentence,checked
0,"ఈసారి ఎన్నికల్లో స్టార్ల హడావుడి పెరిగింది.
",1
1,"మన హీరోయిన్లు కూడా మన వద్ద పోటీ చేయడం లేదు.
",1
2,"కానీ మన వెటరన్ హీరోయిన్లు వేరే చోట్ల రాణించారు.
",1
3,"సుమలత, జయప్రద వంటివారు ఉదాహరణ.
",1
4,"అయితే, ఈసారి కాంటెంపరరీ హీరోయిన్లు కూడా ఎన్నికల బరిలో దిగారు.
",1
5,"వారిలో ఒకరు తృణమూల్ కాంగ్రెస్ పార్టీ తరపున ఎంపీ అభ్యర్థిగా బరిలోకి దిగిన మిమి చక్రబర్తి.
",0
6,"ఈ బెంగాళ్ హాట్ గాల్ ఇంతకాలం తన అందాలతో అందరినీ ఆకట్టుకుని ఇపుడు తన ప్రచారంతో ఆకట్టుకుంటోంది.
",0
7,"బెంగాలీ సినీ ప్రపంచంలో మంచి ఫాలోయింగ్ ఉన్న ఈమె వల్ల తృణమూల్ పార్టీకి మంచి క్రేజే వచ్చింది.
",0
8,"ఇలాంటి అందమైన మోము, లేత వన్నె అమ్మాయి ఎన్నికల బరిలో ఉందని మీకు తెలుసా.
",0
9,"ఈమె బెంగాల్ లోని జాదవ్ పూర్ నుంచి పోటీలో ఉన్నారు.
",0
10,"ఈమెకు ప్రత్యర్థులు వికాస్ రంజన్ భట్టాచార్య (సీపీఎం-కాంగ్రెస్), అనుపమ్ హజ్రా (బీజేపీ).
",0
11,"జాదవ్ పూర్ కోల్ కతా దక్షిణప్రాంతం.
",0
12,"1996 నుంచి ఇక్కడ టీఎంసీ బలంగా ఉంది.
",0
13,"గతంలో ఈ సీటునుంచే మమత బెనర్జీ గెలిచింది.
",0
14,"అయితే ఆమె కాంగ్రెస్ లో ఉన్నపుడు ఈ సీటు గెల్చింది.
",0
15,"ముందు సీరియల్ నటిగా పేరుపొంది పాపులర్ అయిన మిమి చక్రవర్తి, 2012లో సినిమాల్లో ప్రవేశించింది.
",0
16,"ఆమె రాజకీయ అనుభవం గురించి పలువురు వేసిన ప్రశ్నకు ఆమె ఒక స్ట్రాంగ్ సమాధానమే ఇచ్చింది.
",0
17,"ప్రజలకు సేవ చేయడానికి ఉండాల్సింది కోెరిక, అనుభవం కాదు.
",0
18,"నాకే కాదు, ప్రజలకు సేవ చేయాలనుకునే వారికి ఎవ్వరికీ రాజకీయ అనుభవం అవసరం లేదని గడుసు రిప్లయి ఇచ్చింది ఈ ముద్దుగుమ్మ.
",0
19,"నేను తక్కువ మాట్లాడతాను.
",0
20,"ఎక్కువ పనిచేస్తాను అని పేర్కొంటూ అందరికీ చేరిందావిడ.
",0
21,"రాజకీయాలు పక్కన పెడితే.
",0
22,"ఈమె సభలకు మాత్రం జనం తెగ వస్తున్నారట.
",0
23,"మరీ ఇంత అందంగా ఉంటే రారా?.
",0
24,"అదేంటండీ అంత మాట అనేశారు అని బాధపడినా.
",0
25,"ఇపుడు వాస్తవం కఠినంగానే ఉంది.
",0
26,"ఎన్డీయే కూటమి 353 స్థానాల్లో విజయకేతనం ఎగురవేసింది.
",0
27,"సొంతంగా బీజేపీకే 303 సీట్లు వచ్చాయి.
",0
28,"రెండు తెలుగు రాష్ట్రాల్లోనూ ముఖ్యమంత్రులకు- బీజేపీ కూటమికి సంబంధం లేదు.
",0
29,"ఈ నేపథ్యంలో తెలుగు రాష్ట్రాలు మోడీని డిమాండ్ చేసే పరిస్థితి లేకుండా పోయింది.
",0
30,"గట్టిగా అడిగితే ఇవ్వను పో అనేలా ఉన్నారు.
",0
31,"పైగా రెండోసారి సొంతంగా గెలిచాక మోడీ మాట వింటాడా?ఫలితాలకు ముందు కేంద్రంలో హంగ్ ఏర్పడుతుందని తెలుగు రాష్ట్రాలు చాలా ఆశలు పెట్టుకున్నాయి.
",0
32,"ఎన్నికలకు ముందు చంద్రబాబు, జగన్, కేసీఆర్.
",0
33,"అందరూ కేంద్రంలో కీలకపాత్ర మనదే అని ఫిక్సయిపోయారు.
",0
34,"మొత్తం సీన్ రివర్సయ్యింది.
",0
35,"బీజేపీపై వ్యతిరేకత ఉందని చాలా మంది భావించారు.
",0
36,"అయితే ఆ లెక్కలన్నీ తప్పని తేలుస్తూ బీజేపీ స్పష్టమైన మెజార్టీతో అధికారం సంపాదించుకుంది.
",0
37,"​మో​డీ మరో ఐదేళ్లు ప్రధాని అవ్వడం ఖాయమైపోయింది.
",0
38,"అయితే ప్రాంతీయ పార్టీల మద్ధతు కూడా ఇప్పుడు మో​డీకి అవసరం లేదు.
",0
39,"​ కూటమిలో లేకపోవడంతో​9 సీట్లున్న టీఆర్ఎస్‌కి, 22 సీట్లున్న వైసీపీకి కేబినెట్‌లో ​ చేరే అవకాశమూ లేదు.
",0
