key,Sentence,checked
0,"మూడుపైనే గురి..!.
",1
1,"నాటింగ్‌హామ్‌ : దక్షిణాఫ్రికా, ఆస్ట్రేలియా వంటి మేటి జట్లను ఓడించి జోరుమీద ఉన్న టీమిండియా నేడు టోర్నీ అండర్‌ డాగ్‌ న్యూజిలాండ్‌తో మూడో మ్యాచ్‌ ఆడనుంది.
",1
2,"ఆసీస్‌ మ్యాచ్‌లో శతకంతో ఫామ్‌లోకి వచ్చిన శిఖర్‌ ధావన్‌ జట్టుకు దూరం కావడం భార త్‌కు పెద్ద ఎదురుదెబ్బే.
",1
3,"దీంతో జుట్టులో సమీ కరణాలు మారనున్నాయి.
",1
4,"నాలుగులో కుదు రుకున్న కేఎల్‌ రాహుల్‌ ఓపెనింగ్‌కు వస్తాడా లేక మార్పు జరుగనుందా అనేది తేలాల్సి ఉంది.
",1
5,"రాహుల్‌, రోహిత్‌తో పాటుగా బరిలో దిగితే నాలుగో స్థానం ఎంపిక క్లిష్టంగా మారనుంది.
",0
6,"నాలుగో స్థానం కోసమే ఎంపిక చేసిన విజరు శంకర్‌ను మేనేజ్‌మెంట్‌ బరిలో దింపనుందా లేక అనుభవానికి పెద్దపీట వేసి కార్తీక్‌ అవ కాశం ఇవ్వనుందో చూడాలి.
",0
7,"రోహిత్‌ ఆసీస్‌ మ్యాచ్‌లోనూ ఫామ్‌ కొనసాగించడం, కెప్టెన్‌ కోహ్లి భారీ ఇన్నింగ్స్‌తో ధావన్‌ లేకున్నా టాపా ర్డర్‌ పటిష్టంగానే కనిపిస్తోంది.
",0
8,"రాహుల్‌ ఓపె నింగ్‌లో వస్తే మిడిల్‌ బలహీన పడే అవకాశం ఉంది.
",0
9,"ధోనీ, పాండ్య మినహా రెండు మ్యాచ్‌ లోనూ జాదవ్‌, జడేజాతో పాటుగా లోయర్‌ ఆర్డర్‌ బ్యాటింగ్‌ చేసింది లేదు.
",0
10,"బౌలింగ్‌లోనూ టీమిండియా మంచి ఫామ్‌లో ఉంది.
",0
11,"ఆసీస్‌ కట్టడి చేయడంలో భువీ కీలక పాత్ర పోషిం చాడు.
",0
12,"ట్రెంట్‌ బ్రిడ్జ్‌ పిచ్‌ పరిస్థితులు కారణంగా ముగ్గురు పేసర్లతో ఆడే అవకాశం ఉంది.
",0
13,"దీంతో కుల్దీప్‌ను పక్కన పెట్టవచ్చు.
",0
14,"వరుసగా రెండు విజయాలు సాధించినా కోహ్లిసేన న్యూజి లాండ్‌ను తక్కువగా తీసుకోవ డానికి లేదు.
",0
15,"భారత్‌లానే కివీస్‌ సౖౖెతం ఇప్పటి వరకూ ఓటమి లేకుండా వరుసగా మూడు విజయాలతో పాయింట్ల పట్టికలో టాప్‌లో ఉంది.
",0
16,"అందు లోనూ వార్మప్‌ మ్యాచ్‌లో భారత్‌ను న్యూజిలాండ్‌ చిత్తుగా ఓడించిన విషయం తెలిసిందే.
",0
17,"ముఖ్యంగా న్యూజిలాండ్‌ పేసర్లు నుంచి కోహ్లి సేనకు సవాల్‌ ఎదురుకానుంది.
",0
18,"న్యూజిలాండ్‌ బౌలర్లు తొలి మ్యాచ్‌లో శ్రీలంకను 136 పరు గులకే కుప్ప కూల్చారు.
",0
19,"అయితే అనంతరం రెండు మ్యాచ్‌లు బంగ్లా, ఆఫ్ఘనిస్థాన్‌ వంటి చిన్న జట్లపై ఆడినవే.
",0
20,"కివీస్‌ ఓపెనర్లు గప్టిల్‌, మన్రో ధాటిగా ఆడగలరు.
",0
21,"విలియ మ్సన్‌, రాస్‌ టేలర్‌ ఫామ్‌ జట్టుకు అద నపు బలం.
",0
22,"వీరిని తక్కువ స్కోరుకే కట్టడి చేయాలంటే టీమిండియా బౌల ర్లు రాణించాల్సిందే.
",0
23,"నాటింగ్‌హామ్‌ ప్రాంతంలో కురుస్తున్న వర్షాలు మ్యా చ్‌కు అంతరాయం కలిగించే అవకాశం ఉంది.
",0
24,"ధావన్‌ లేకుండా బరిలో దిగు తున్న టీమిండియా మరో విజయం సాధిస్తుందో లేదో నేడు తేలనుంది.
",0
25,"జట్ల అంచన.
",0
26,"భారత్‌.
",0
27,"రోహిత్‌, కేఎల్‌ రాహుల్‌, విరాట్‌ కోహ్లి (కెప్టెన్‌), విజరు శంకర్‌/దినేశ్‌ కార్తీక్‌, ధోనీ(కీపర్‌), జాదవ్‌, జడేజా, భువనేశ్వర్‌ కుమార్‌, చాహల్‌, బుమ్రా, షమ.
",0
28,"న్యూజిలాండ్‌ : మార్టిన్‌ గప్టిల్‌, కాలిన్‌ మన్రో, కేన్‌ విలియమ్సన ్‌(కెప్టెన్‌), రాస్‌ టేలర్‌, టామ్‌ లాథమ్‌(కీపర్‌), జేమ్స్‌ నీషమ్‌, కాలిన్‌ డీ హోమీ, మిచెల్‌ సాట్నర్‌, హెన్రీ, లోకీ ఫెర్టుసన్‌, ట్రెంట్‌ బౌల్ట్‌.
",0
29,"ఆ మ్యాచ్‌ టికెట్ల ఆదాయం విరాళానికే...
",0
30,"చెన్నై: గత నెలలో జరిగిన పుల్వామా దాడిని ఇప్పటికీ భారత ప్రజలు మర్చిపోలేకపోతున్నారు.
",0
31,"ఈ ఘటనలో ప్రాణాలు కోల్పోయిన 41మంది జవాన్ల కుటుంబాలకు అండగా నిలిచేందుకు విరాళాలు ఇస్తూనే ఉన్నారు.
",0
32,"ఇందులో భాగంగా టీమిండియా మాజీ కెప్టెన్‌ మహేంద్ర సింగ్‌ ధోనీ సారథ్యంలోని చెన్నై సూపర్‌ కింగ్స్‌(సీఎస్కే) కూడా తన వంతు సాయం చేయడానికి ముందుకు వచ్చింది.
",0
33,"మరో రెండు రోజుల్లో ఇండియన్‌ ప్రీమియర్‌ లీగ్‌(ఐపీఎల్‌) ప్రారంభం కానున్న విషయం తెలిసిందే.
",0
34,"ఇందులో భాగంగా తొలి మ్యాచ్‌ సీఎస్కే-రాయల్‌ ఛాలెంజర్స్‌ బెంగళూరు మధ్య చెపాక్‌ స్టేడియం వేదికగా జరగనుంది.
",0
35,"ఈ మ్యాచ్‌ టికెట్ల ద్వారా వచ్చిన ఆదాయాన్ని పుల్వామా దాడిలో అమరులైన వీర జవాన్ల కుటుంబాలకు విరాళంగా ఇవ్వనున్నట్లు సీఎస్కే ప్రకటించింది.
",0
36,"ధోనీ చేతుల మీదుగా చెక్‌ను అందిచనున్నట్లు సీఎస్కే డైరెక్టర్‌ రాకేశ్‌ సింగ్‌ తెలిపారు.
",0
37,"ఆధిపత్యం కోసం..!.
",0
38,"నాగ్‌పూర్‌ : ఐదు వన్డేల సిరీస్‌లో ఇప్పటికే 1-0 తేడాతో లీడ్‌లోకి వచ్చిన భారత్‌ మంగళవారం ఆసిస్‌తో నాగపూర్‌లో రెండో వన్డేకు సిద్ధమైంది.
",0
39,"టీమిండియా మిడిలార్డర్‌ ఫాంలోకి రావడం శుభపరిణామం.
",0
40,"ధోనీ- జాదవ్‌లు కలిసి 141 పరుగుల భాగస్వామ్యాన్ని నెలకొల్పడంతో పాటు మ్యాచ్‌ను గెలిపించడంలో కీలక పాత్ర పోషించారు.
",0
41,"మరోవైపు రంజీల్లో ఆడిన రవీంద్ర జడేజా కూడా బాగానే రాణిం చాడు.
",0
42,"వికెట్లు పడగొట్టలేకపోయినప్పటికీ పొదుపుగా బౌలింగ్‌ చేశాడు.
",0
43,"ఇక మూడో వన్డే నుంచి అందుబాటులోకి రానున్న రిషబ్‌ పంత్‌, భువనేశ్వర్‌ కుమార్‌లకు పోటీగా ఈ మ్యాచ్‌లో విజరుశంకర్‌ నిరూపించుకోవాల్సి ఉంది.
",0
44,"మే 30 నుంచి మొదలయ్యే వరల్డ్‌కప్‌ను దృష్టిలో పెట్టు కుని మూడో వన్డే నుంచి ప్రయోగాలను చేసేం దుకు టీం మేనేజ్‌మెంట్‌ సిద్ధమైంది.
",0
45,"హైదరాబాద్‌ వన్డేలో విఫలమైన ఓపెనర్‌ శిఖర్‌ధావన్‌కు మరో సారి ఛాన్స్‌ ఇవ్వచ్చు.
",0
46,"ఒకవేళ ఇవ్వని పక్షంలో కేఎల్‌ రాహుల్‌ ఓపెనర్‌గా వచ్చే అవకాశం ఉంది.
",0
47,"తనదైన రోజున శనివారం వైస్‌కెప్టెన్‌ రోహిత్‌ శర్మ బౌలర్లకు చుక్కలు చూపించగా, తరువాత వచ్చిన కెప్టెన్‌ విరాట్‌ కోహ్లి 44 పరుగులు చేసి కీలకమైన భాగస్వామ్యాన్ని నెలకొల్పాడు.
",0
48,"ఇదే గనుక మరో సారి రిపీట్‌ అయితే నాగపూర్‌లో పరుగుల వరద ఖాయం.
",0
49,"మొదటి మ్యాచ్‌లో అంబటిరాయుడు విఫలమైనా, అతడికి టీం మేనేజ్‌మెంట్‌ నుంచి మంచి సహకారం ఉంది.
",0
